4.5294024548 3.7635500893   10.9236461114 10.6149645423   1.0827617517 -0.7827678468   16.8549104541 15.5037337671   10.2400509720 9.9637101901   -0.1890149528 0.1540814801   9.8999730727 10.7270919501   3.5874933201 5.2250399088   11.6144572904 8.9977449562   3.9082420183 2.4638716488   13.5845150188 16.1348963719   12.4957548592 11.7884956833   3.6688507658 2.6799320549   3.1223196118 2.9442070818   12.9784336253 12.9809032841   6.9260421892 5.8074164372   3.6013348060 2.6347783260   12.3113475819 13.3686740506   0.9652447651 0.7668794850   10.1977672519 9.2179949794   10.5069113869 10.6288301136   2.4539613277 4.2214226407   5.9939032376 6.7951588539   6.5247313060 6.2664533886   10.5041822343 9.7352147049   2.1854229051 3.5530049266   13.9649740924 13.4348979666   -0.3874910612 -0.1995496967   5.2540189878 5.1211785673   12.1025344443 13.7028364165   15.6544203887 16.2785227487   2.5640157922 2.0402739307   15.6366014340 14.9403939307   6.3638218745 5.5550349800   14.1696670949 12.4621332929   8.3237915442 9.0991044550   1.2621341088 4.3597813848   9.5441825771 9.7029274731   9.9094484888 9.2819171809   16.1679726472 14.2329464027   3.1127234597 2.4216834050   3.7414193678 3.8442931632   10.1970389106 9.7277960811   0.4163960382 1.7843557590   14.7258445943 16.5583558490   0.6660856955 1.0819535549   3.7101416228 3.6537573614   16.2251506704 15.2566106058   12.6376714528 12.6339832262   10.1534353316 11.5972275538   0.9460847869 -0.9473010448   3.5282772064 1.8814787629   15.2481441350 14.7776727144   16.1508764220 16.7011809027   4.3717794417 2.2380022952   9.3801844792 10.3287592542   14.0443708326 12.9273566263   2.2127861574 2.6777770441   8.7961468076 10.2618877671   2.4632615919 2.4426606975   11.3039296661 13.7206075870   2.8140553510 1.9014789505   8.8363601951 9.6022368258   -0.2111865371 0.4709874110   15.6025475577 16.2879159220   16.9538615981 16.1373554307   13.0436646286 13.7218360569   2.7817034878 2.6228717173   2.1970798881 1.7813906780   16.5601234425 15.6047243421   3.4939857412 2.0820395300   12.5550495644 12.9766064678   3.0813729026 2.9069821221   15.5715714895 18.3811808901   9.8736005545 9.4681576363   2.7698068075 2.1136153418   3.3190931987 0.7505703935   13.3302291599 13.4975292507   10.3384840328 9.8525582711   13.1205408493 11.2412968081   1.8681035245 2.5784912977   11.1921818567 9.9742592369   10.3686304636 11.3661026442   12.6025513531 12.8449475070   11.6312391010 14.2607566499   3.9607299117 1.4009431886   10.4563672998 9.3857350091   -0.3715597510 -1.0068600797   15.9053109082 16.5649706880   14.0465526073 12.2894391385   7.3238389729 5.5192701894   1.6310614434 -0.2503232867   10.8564798718 14.1522087011   12.8595053171 12.6294588424   11.8660620899 13.7126091541   -0.5047152271 0.5026193321   12.1090952160 12.5993843891   3.6220780913 3.5912896399   4.7769997050 7.0380994049   12.4523233035 13.2972904825   

-1.5638072576 -0.1907579602   12.1989147370 11.9807162248   12.4543763566 15.1182161365   12.9911767299 11.6992149922   15.0763144805 16.5214297209   3.4895852752 4.2152019214   10.7758889670 9.7090132351   2.8563927579 2.6429183874   9.8700720726 8.8839251282   10.5706954393 11.5328938015   0.4288223375 0.1350230503   9.7061994782 10.0331425644   6.0844255034 4.8307906741   1.1073565176 0.3799789110   13.0104173967 11.6421636396   5.5650797258 6.9888934927   14.5407500601 12.9804810705   4.3210714977 5.7605219901   6.6125273786 7.6499844950   11.8565794421 13.7732297102   0.2663528850 0.2213194302   10.3519033258 9.8707092195   -1.4911260085 0.2733897294   15.8720194143 14.0054271125   12.8645191119 12.9173001179   2.2576871633 3.2284407920   6.7383197581 5.6002020451   8.7282769930 9.6727702082   1.3679853889 2.8155773919   5.3233888296 5.3911963791   13.3463765252 12.9890687645   13.2730469540 13.8282999643   0.2454762148 3.1321631217   14.3990474562 10.8131101703   0.8990105423 -0.5628416045   12.5804152403 13.1902287881   5.3038716352 6.3420695396   9.9809337105 9.8274969362   3.4198106823 3.6218092511   -1.2412162985 0.3616295108   13.8810983454 14.1948750479   4.2325266885 3.3334352719   13.2552923402 16.7185485296   0.3695086112 0.7734053659   2.3711278784 3.8989629250   9.0911242026 12.0119602729   -0.1432442595 -0.7825551747   3.1417659180 4.3464982591   9.3524827758 8.8039259511   3.3959128363 3.5054334766   13.5767321533 12.6030371062   13.0766334290 12.1774068937   14.0268785910 16.4445525203   -0.7043616200 -1.4591966878   17.4145733525 15.1537675360   13.6894181343 11.9972085630   5.0862086581 5.7762673899   11.7064803828 12.2386288092   3.1375212113 3.8114546032   12.6758245733 13.7459766734   13.7699877911 12.4620864503   2.6231585124 3.6133219355   4.0106581090 3.5159672437   2.9093139317 2.8935372393   14.1395585694 13.0008812503   13.2451767991 12.9236608104   16.8256045146 16.7833109076   12.7437494572 13.4770141991   8.7583755866 10.6472281433   2.7685629080 3.9637112776   6.2809262074 5.1809806287   0.3544845904 0.2720082691   13.5169669738 12.6201577221   3.0159808846 2.9900766947   13.8966592947 13.7194109944   15.0717640389 14.4711915126   3.0201716075 2.7690238846   16.4459104877 14.6255567763   3.4986283183 3.6356729932   0.4490582632 0.4806790811   9.9108237800 9.9213007536   14.9896202417 12.2419861493   6.8934559358 5.5299521629   15.0873171604 12.8719524526   5.6050057647 6.1640150426   13.8528671560 11.4171514750   1.9592993936 2.2667984303   6.0345233226 5.2192478948   16.8538059907 15.6727290702   8.3000171922 5.3315684663   13.3723054176 12.3779174179   3.0406736341 2.9430603529   10.1764868228 9.3485442128   0.6641032908 0.6379998069   0.3515783047 -0.5147529631   11.6429332263 11.2284503299   6.2415444532 6.7929927031   9.4467770133 9.0607811129   2.8569511743 2.9998570569   12.5921340226 13.4100257092   

2.3291830842 3.7583032216   14.8960758625 15.9801438446   3.9958462361 2.7067502236   12.2642524387 12.7605827707   7.5027254058 4.8492901350   12.6489376544 12.1806613448   2.4868114698 2.4522827765   12.4974713215 13.6337532342   2.8007602041 2.1514210720   2.1839596844 2.6689958941   13.6751592283 12.3777731135   13.1580973612 12.5469470452   9.6567041037 9.7862506793   6.0075703970 5.7198346190   11.2068581536 9.4795791615   3.3921636777 1.9827021805   13.7508856696 15.1148741787   2.6754986589 3.4473995650   4.9739447220 0.8976018943   9.7451659819 9.7603730495   6.2941122287 6.0454279043   13.1537119608 13.3793154146   2.9757725479 2.5854586167   12.6457786349 12.9545594665   5.6608514087 6.6109467640   13.3402344688 13.9863244733   9.8105811320 11.1381384620   -0.0259704547 -0.1925372587   14.3819176835 11.6960004712   -0.4266870665 0.3569105455   12.5298767665 13.6724428167   10.4620681176 11.1579295994   1.7462545047 2.7704157788   13.2304352116 12.7252665358   3.8616067410 2.4974410521   14.3568975686 11.4637011178   11.9879131693 15.0292669271   12.8680055803 14.1247109541   -1.1414184767 -0.2590436249   11.8917941231 12.3106127223   1.0145287097 0.3624611021   11.1930516298 10.8045146023   15.0827713934 16.8005271598   18.4312168676 15.2814325533   2.0464997501 2.4400144202   4.3403028245 2.6351482182   12.3199173235 12.8868371982   0.6958596943 0.3421833755   10.1608679232 11.0290269980   6.0308295292 5.7522930704   3.3566340456 2.1515701546   3.0139888052 3.5918226139   12.1383374227 12.5379241653   2.5168418911 4.0466848708   3.3245093949 4.0711176776   6.6558003285 6.4443512956   12.7729801992 13.1616705571   1.8571436589 0.8104087027   2.0305903754 2.5350290760   0.6071414938 -0.9466560559   11.3932789239 11.8871598624   10.4746586642 10.4848370363   2.9328409548 3.5573682125   12.8082565190 13.0670957934   17.1528805992 16.2614629064   13.1374918862 12.4716798253   4.8272587226 5.2345983613   13.9847741940 12.3832426261   13.7018873581 13.2786237027   3.6159801393 3.1293042509   13.6944239200 12.2274749695   4.8794518204 6.2228472209   12.9004084482 13.2736199640   0.2056465356 1.3187741382   16.1403507312 14.0803509855   14.0761541692 13.3901825538   0.3112151288 -0.8501538635   -0.9939348607 1.1399209213   11.6220917062 12.2125293662   6.5748844124 6.2456168165   -0.2925436930 0.0639185259   10.5184362496 10.9546672963   13.6607450342 12.4950513211   14.1148075924 13.6027395024   9.9354631931 9.8845988112   4.2851898482 2.1625904887   13.3316418300 13.8363831184   12.2549318985 14.8002823149   13.9206418853 12.5647944295   13.0592259077 13.0044278656   3.2752263845 3.1484874696   13.9637864684 14.4814177500   14.2626181006 15.4229644849   15.8499237156 15.8577282195   0.4725274284 -0.5952498357   -0.8649969352 1.1995286092   16.3901032894 15.4037180215   2.7655111055 2.1378815902   13.4490912299 12.8009028855   13.9781481097 16.5984006810   

5.0233499948 6.7760851462   12.8496182583 11.2997296124   5.8774932106 5.9169523628   3.5468192813 3.9999272729   16.2021661786 16.9853417410   0.7359526902 1.2209824175   10.6347086279 9.8990575216   3.7675413034 3.0066542752   -0.1373325242 0.8971578797   10.0276921350 13.5373261311   2.3209318149 3.1670159549   14.5377602451 13.0688818867   3.8921227646 3.1818760089   0.8692448356 1.2583724837   6.0927667740 5.8651735667   8.5931548171 10.2707575901   6.4909714465 7.1530109980   2.0948388070 2.3441683213   15.7324981369 14.0336229172   2.7943632080 3.7548432111   2.8593026927 3.1340853209   11.8908705123 11.6956115780   16.2307306317 17.0426905068   12.9297172993 13.2367369362   0.6099606102 0.3442200638   9.9893934320 11.2384841255   3.3371284120 3.0286328355   0.3670780310 0.2839531041   4.3962872529 3.9124055055   12.2411726417 13.5123857731   3.0620687763 2.3101060536   15.4994246608 17.7406918634   1.7466190448 2.7422954326   9.7851349688 9.4064909165   16.4478933333 14.3364144330   16.1154455363 18.2069995395   6.5855029033 5.6508661418   12.9596347024 13.1561294645   4.4892900781 3.1200369127   16.9063810286 15.4362579967   -0.8819541743 -1.0407975270   0.3058291585 0.3947924188   9.9800935565 10.5323006783   2.5676321464 4.1634220270   4.9978535460 6.3693302067   13.5309879027 14.2938874950   6.2187395884 5.0267278753   13.1102329980 12.5414754241   5.8208049178 6.9402718488   15.4762671321 15.2191946482   9.0523297790 10.9912791044   2.6279857940 2.9901230649   12.9882654529 13.4436715663   2.7816387495 2.9185658814   0.6746522395 1.3335446526   13.6177137532 13.1860950602   15.9308219133 16.2182889360   3.6622676281 3.5291421374   15.9216254058 15.7514500266   16.4741231884 15.1317502225   3.7738335493 4.0519774311   0.0800058709 -0.0039159795   12.9339166034 13.8341331752   0.5871193778 -0.1165094575   12.8793224859 14.0325251586   0.8623923703 0.0110015540   17.8437383011 15.3548577052   3.3923186110 3.2103824296   2.3977141564 3.3971099482   16.1246291330 15.1956477858   13.7530358764 11.4877526383   11.4497115608 13.4842194730   2.8557043569 3.9184072031   17.0886850104 15.9087353577   0.7030895359 0.0156234868   6.4434939208 5.6175562183   12.0056822751 13.3584891934   13.6425248260 12.4599743649   2.3685045775 3.1915455202   -0.9903704382 -0.3757210805   15.3035523537 17.8318900940   12.6402472680 12.2049007890   7.3963972282 6.6207055108   3.1012372102 2.0915365331   16.3704532641 15.0672377394   -0.8393151774 -0.1500745023   0.7655775598 0.8418825267   11.3802748688 13.2120633000   9.9731180001 12.4423992508   -1.2429687435 0.0984495658   10.2236260032 10.6177962168   6.1335563472 7.0480737888   0.2370439874 0.1092987494   10.4318384496 9.9531792432   5.6307686437 7.0931715366   10.0291786073 9.5174849913   1.8200174443 2.8249809088   13.9076499358 13.4501832989   0.8279658959 1.3386238868   17.0104640813 15.2336181951   

4.6214612840 2.6957766058   13.1782830373 13.8746415696   0.3735242957 0.7019374455   13.3288015273 12.4859582775   5.1810218499 5.7771196616   12.2565749173 13.8135814274   12.4908288925 14.8626833241   7.7843501557 5.8863178574   3.2394125081 3.2381109325   13.3353112570 13.8941361575   10.4850398040 11.3075665007   -0.3418569092 -0.3208138829   15.6982725629 14.8059959866   4.2088699516 3.5755609450   12.4081009157 12.0633759129   9.6403805606 10.8875908444   1.2301962560 -0.2522696286   3.3494166333 3.6792697032   16.0889963748 13.9462816174   -0.2245092814 0.3751605037   2.2787638132 1.8641727566   13.8349053201 12.2958213383   3.7130208904 3.7799714631   8.0805192178 10.7891547740   6.2085909451 5.6601246331   9.6273075527 9.6058666142   0.1210599967 0.4419838347   8.2258136485 9.9733227720   3.4689262931 3.0955501493   15.0304630253 16.5447877148   14.6480010459 13.5796959324   4.1583160935 2.6696341480   0.0035451203 0.4066792535   4.4217501654 3.8075708022   -1.4386860657 2.2853452132   15.6564525905 15.0271872344   12.3923229430 12.6851258378   2.6067317575 3.4402832965   8.5315846138 10.7409639772   16.9587387209 16.2275124835   2.3161291887 4.2480276721   9.4097470921 10.9278463106   -0.2108405721 -0.1380739631   9.2144269471 11.1820785391   13.1602518624 13.6980502397   2.2144768605 3.2081690663   10.5410208981 9.7821589551   2.8579863884 4.2616315703   15.6861101433 17.0530087290   -0.1360955991 0.9679423586   15.4071992522 14.5123487891   2.7233533084 4.2508676954   3.1575742621 3.4090844658   3.7541380142 1.8947415566   3.6565312070 2.3188218444   18.5001666081 17.1192442356   0.0315021739 0.3668024347   14.1797404394 10.9410979140   6.0303180302 5.0177205253   9.0281221712 9.7126054144   3.8127414296 2.7007333328   12.8624079842 11.7627091022   6.8598327374 6.3169340811   -1.0396882935 0.0901886596   13.4333716984 12.2114363752   3.2943993218 2.9601262926   9.4373785771 10.1287598028   3.2426788040 2.7046193853   11.1382186941 11.2082060914   0.1976419064 0.3082614045   0.4670233969 0.8232491748   10.7204975637 9.3514895620   16.8272105277 13.4692448577   4.2677454021 2.1220091149   2.8109879429 2.6983504967   10.8315877894 8.9325549730   5.7772681475 5.3652965657   11.6731351028 12.9088045653   4.3268113370 2.3887554892   16.2827916174 16.3687283619   3.5778508090 2.1014496197   9.8158286005 8.2515218143   6.0190156183 4.6772832940   16.9963777045 16.8303266591   3.3101332392 1.3725727000   13.2124701131 13.2971658589   15.0315253302 14.2233503714   2.5653003317 2.8288896617   10.0657491867 9.8463931346   1.7820935837 4.0247892047   0.3566578387 0.3196644152   4.2165270407 3.9481471739   3.8291031894 3.2786123764   9.4813811066 11.1241118056   2.8528418644 3.6065313245   1.8567948478 3.0712788298   1.7793342173 2.7938890661   9.5497616849 9.5040750462   4.6106258030 2.4696605280   2.4873789425 2.4850886079   

-0.4994240703 -0.6451704183   16.0618590533 17.4118060590   5.4953771669 6.6645764756   12.8831895639 13.1042816694   4.5026222017 3.1676892455   10.4870878279 10.8722124317   5.6099456176 5.5942990775   -0.8492177803 0.0957352021   10.3009738915 9.8827658194   2.8128671790 2.5214183988   15.2092071943 11.8198661215   1.9441811677 3.7449016103   15.2119690814 16.4652165752   11.7398526265 13.6514399513   -0.0557976925 -0.5670179660   10.1910036487 9.2090291042   14.7933168424 16.4049980732   19.1405874917 15.1933122981   10.2202486733 10.8979900632   12.9383649413 14.0881724146   -0.0410531558 -0.2737391905   16.8459600494 15.3705235127   1.9686363892 2.2609741603   13.1281234175 13.0274060200   13.2108033936 13.5118440400   12.8504137278 12.2370467508   13.0667774984 11.5141449671   0.2949136062 -0.0304101923   15.6733750724 16.7982260003   3.2742740646 4.6066466220   3.1080087469 3.0112514367   12.4774133764 12.3431470692   8.9916824958 7.9859970101   -0.7573982518 0.1455763907   13.1239353901 14.3393612852   3.8531577047 5.7037359900   12.3268356452 12.4645466815   3.1744131557 2.6153173148   14.0787475051 15.3178792070   2.6042085814 2.7190241041   10.8008455257 9.4151007806   6.2236357728 6.5743098714   6.4203585258 7.1956189534   8.7611838142 11.4485075900   1.9930396517 3.3346292987   15.8880973257 18.0651489047   16.5856198171 14.2535625079   13.2099129517 13.5165435228   4.9163579430 6.2239979262   2.2187229381 1.9841385757   3.5046305423 3.7308998095   12.9454702639 12.1018684030   3.5242816749 3.9998952573   5.3745018813 5.4448712410   15.4447681768 16.3593255321   16.3277706343 13.3258103814   14.7756901973 16.0372539041   5.8455845879 4.5593047662   13.0253958972 12.8892456965   5.1238801636 6.1233864572   13.6272934159 12.9999459965   6.1755318690 6.5159948788   0.5962519765 0.2693033967   11.0185272622 10.8998943335   0.8651028526 -0.4178183834   11.1840188139 9.9434923482   3.0431083422 4.0238257882   11.5021805532 13.7663269254   5.1782558495 5.8817608422   13.0014760108 13.0715249309   2.6697320882 4.3086857126   13.1526178684 13.6916016725   9.9700720452 10.4768132749   4.6575715173 7.1253187898   15.7498326201 15.5517415298   11.1459709179 10.6695717427   0.5400733679 0.8000767607   2.8375732299 2.4622935318   2.1931672529 3.2409177729   15.7558303750 17.2828666623   11.9040271440 13.4657513435   3.5728430851 3.8037723140   12.0368524929 13.4160286736   -1.3396835798 -0.3246678600   11.5324775361 11.5871946720   6.4294818267 7.2357596189   17.0807639177 15.7734241509   5.9946856162 5.1580854508   16.0511638569 17.1671599463   6.4607560491 5.2718177517   13.2432382197 13.6782414531   0.6796758752 1.4088533949   2.4968357530 4.0198509597   9.8083048785 10.0404435251   10.4862872321 10.1519358223   9.3941103390 9.8787070722   2.0824482260 4.6893462980   15.6107669861 15.5934562008   3.2921119891 2.8385171297   1.6814063361 2.7957216473   

2.2048473158 1.8572551600   11.0624494686 9.0405197947   17.0431026959 16.8219310006   7.9335245098 4.9437170067   3.1506662972 3.6646366450   15.1403750306 16.0882258700   10.0788985588 10.4223423421   0.0241486505 -0.0434861053   9.8986831841 11.9714975399   10.3094943525 10.1016588136   4.2992805056 3.3699477672   13.8618183412 12.2573599931   6.9598197760 5.5107036674   13.8202058994 13.2189241773   -0.9558313665 0.4255517093   2.6634467833 2.2440877534   11.7447416226 12.4605155991   3.7442804846 3.1823222699   12.9100245173 13.8274275813   12.1920172374 14.2350458493   15.7881744679 15.0928886214   2.2749698478 1.8884053380   15.5869736221 17.1194196161   12.7183268562 12.7055669095   2.9834797686 3.2593112234   11.8537211031 9.7603654176   6.1349099298 4.9847357012   10.7409266042 10.6475965478   -0.5872309351 0.3390419414   4.7001300563 2.1295741042   5.5375328216 4.8260217297   12.8773016075 12.7836000174   13.9388715644 13.3104998381   16.3333911708 16.6631669359   3.9312639237 4.2262587503   2.2307764735 1.3491773611   2.8776741414 1.8663401095   6.5926230911 6.3929692146   17.0459147947 17.0160916129   2.3342252416 1.6741006915   14.0991517343 12.8630400284   2.8374730228 3.1181797541   3.8085233000 2.8214262311   0.7714704566 0.1330346946   13.3644510270 13.7518320034   3.6585518569 3.4983794180   15.6995178048 14.2852615359   2.2226711881 4.6260232253   9.8739813065 9.6042653713   3.7900220091 5.6579092280   10.5942160089 10.2724110419   6.0701303212 5.6813750393   5.9016699989 6.4526354361   13.7753434140 12.5430761237   0.0553995852 0.0264849827   4.0618931248 3.3744829683   12.2666660407 12.1585340239   3.0789109782 4.4472535886   14.6893971845 15.7683150618   2.9276544142 3.0373011664   16.2703843867 13.8379779985   -1.5350848345 -0.1098475503   15.3720610721 15.5511698680   9.4914251759 10.7328617251   3.7214472754 4.0860209008   12.7314013157 14.4747959527   2.8365581312 2.9797718957   13.0812626525 14.6696341664   11.8071545320 14.8244104328   3.3276846330 2.1563190604   4.8054312703 7.8582434962   12.6847026800 13.6575032840   0.5642227992 0.8734595369   13.6272013440 12.6694412596   7.8232683861 4.9545724942   11.2151390156 8.9197613899   14.0303576766 13.1200889278   2.1639829827 4.4525613287   9.8482587395 9.8477589374   13.8832604252 13.2887252946   3.4530078934 3.4332223604   3.3827864666 3.3002297387   2.4886081899 2.0038883674   2.9576088074 3.2757053244   9.5719581381 11.0684237912   5.6105430355 5.6739235537   15.5714964869 16.9323997844   2.7964348426 2.3188886908   5.6370348625 6.0954624388   10.1276295828 10.4726307335   2.7768016171 2.4593587188   1.1093920436 0.0815546217   10.7125368365 8.7388508275   9.4635854424 9.8950063842   -0.0989927798 0.1242707758   12.2516042122 13.0731717004   2.3636008766 2.9461752405   10.9577758847 10.2062446606   2.8379702974 2.4495465604   2.5668912407 3.4021455237   

0.1440382751 0.4569175049   16.6066336232 16.2842006182   13.2947229118 13.9913383410   6.0164932528 4.1066098026   13.5683372644 13.9454216708   5.5657863451 7.0294022818   10.5406370455 9.5008022413   6.8235319672 4.9731051396   16.6555433362 16.9231816170   3.6442720481 2.5578647794   6.3473288649 5.3692581958   13.2838538157 11.9886701175   4.1365797710 3.5656790172   9.9554309441 9.4673971916   11.2883986452 10.5716498853   4.8890367310 3.8891324480   13.1270661244 14.1108131452   2.2409319114 3.1015253373   -0.5599124362 0.3078996624   12.6073023335 12.5121384442   0.0494606940 0.3966093980   0.1734084055 0.5267700630   12.4952305078 13.0670918928   11.9514266042 13.0096985581   5.4932191192 6.1845539158   13.3110439266 13.6650059030   5.6252994673 5.4565990966   11.8994448547 10.9494470091   6.3715126573 6.3063251193   1.5910829476 2.6634661384   13.5325947105 13.1789757163   3.1601573211 2.8550399805   2.5140895171 3.1432900455   12.0043957472 12.8495525938   2.5639558520 2.6695377277   13.4879555767 12.3092377005   1.1318824865 2.7209967884   4.2202955981 2.8807640987   11.5959513252 12.9179731934   2.1414775167 3.7572708381   9.2857279654 10.0146857945   14.3098663669 11.9189570223   -0.2146922424 0.8652054191   15.7247035573 16.0407346491   0.0313977001 -0.8653424534   9.7525485441 11.6610457739   12.4874650079 13.6628048678   3.2403207207 3.4390762133   7.4353437795 5.8548755437   6.6594066942 5.7470705279   12.8022246908 14.1919405503   6.2424362973 7.2212458676   8.6903756304 11.1458793646   -0.3820676243 -0.6524057835   10.5104801743 10.8999173973   3.3167373327 2.5409292032   12.6262725666 12.2224863014   13.8701392032 13.1612718085   8.9037560501 9.1495282826   6.9900360673 4.1139945801   14.9356331872 15.5008209230   3.2485610051 3.0344505478   15.9270300965 15.8683279513   3.5350733768 2.8561537689   2.7531562118 3.8564085436   15.1277399501 15.0458488936   11.3446972490 13.3221458242   3.3143530197 3.9471336555   12.0129307554 14.4880838088   2.0935769795 3.1707353912   7.7312238291 6.0915025993   14.7780636489 14.4298886600   4.0134083613 3.5970985238   12.8645218980 12.6785967728   -0.1890607251 -0.3348247351   -1.0597250301 0.2181567221   13.0599935842 14.8398114426   -0.0396548127 0.8851269883   12.9906517987 12.5982678880   12.7000060293 13.3848884638   -0.9987822720 0.3050672594   10.4703134108 9.9178256950   10.1773919227 9.8128381463   13.3794170911 12.1910183122   12.5118331949 13.4708882921   2.2962634589 4.1527125034   0.4027622748 -0.1340646549   2.9873450940 4.0224827336   12.3547228489 11.1648546276   14.3326000640 16.3924707325   2.3477383611 2.9794722421   12.4196336262 14.1257448978   3.0919439702 3.2990330299   8.7396063767 8.6211395786   3.4641832752 3.5243018768   9.9437009458 9.6867359600   14.3750726788 13.3446537026   0.0988992093 -0.8690261634   13.9661185460 12.4017306924   2.0814586319 2.5427582443   

4.2327802681 2.6521133311   12.0280880342 13.5508395586   1.1962565512 -1.1061670767   3.3455706102 2.0093716039   13.1879412720 12.9937494438   3.9572645889 2.3990080662   -1.3427665508 0.3604199487   12.3253779030 13.2107159537   6.0017539584 4.0709050824   12.7235979833 13.9002657753   9.4809570456 9.0314685636   3.8493290874 2.2641883707   13.3379193778 12.7904836571   2.4062252824 2.6659245400   15.4416813255 18.5296085387   9.9235010168 10.9164192168   -0.0821104713 1.2245471812   3.6055798839 3.3896971148   9.6530779386 11.4143849336   12.2549740177 12.1850629522   14.6794223793 11.9784623819   13.7620905684 12.7935547406   -0.3292441616 0.4021277154   0.1700969102 0.2831178604   13.5145949699 13.3813285754   13.1638427651 12.4169701458   6.6336957172 6.8382393743   12.7716973534 13.7744935283   11.5661354443 11.8633796015   -0.1888156371 -1.0712843225   16.4334110466 16.4131540638   6.2572053322 6.1638358774   13.3551877260 13.1699726452   12.2192389007 13.0585427271   3.9949399311 1.6169860844   10.2526866155 10.3059320424   3.8438222868 3.9639627287   3.3281313695 2.8734904644   1.0899005063 -0.8744552034   10.3264093252 9.4522348250   6.1373691603 6.4951332019   9.4346587045 9.9375945338   3.9800692755 4.0007131846   12.2090078654 12.4447009280   -0.2893297999 0.6250459167   9.8789783964 9.8180951164   4.1402738697 2.2864912369   13.4266100639 12.8998209374   3.1235197670 2.8063501783   10.1529778592 9.5660063415   2.3462234073 2.2534598078   13.0524941455 12.1086241216   15.4673845245 13.3228021273   0.0704957594 0.9424311272   0.1749438245 0.8425049387   14.1672274268 13.0508556880   -0.1661287591 0.2739968919   15.2424121464 16.4542099787   12.2397772236 12.9486319601   15.8379759077 14.6635171564   13.7939492964 13.0902372560   -0.4388085687 -0.0615414283   5.9519140370 6.1779416216   14.5646804898 14.0006846876   6.4547813450 5.5615423068   9.1579285309 11.5872074280   3.2372779245 3.3477716277   2.3992657835 3.5581843300   5.6575950567 6.1247614653   14.0482634407 12.5023990273   7.1021995681 7.0486813971   10.2894583360 10.3143384040   2.6450227377 2.8826704401   14.1447251615 12.3260956334   12.5194238143 12.9263602797   9.2402934469 10.2534047531   2.0420031049 3.1100330583   12.8723926669 13.9700679105   7.1295735530 6.2292358141   15.3182002769 12.4448617070   2.7071459299 2.9716668755   15.3157858111 16.1178961643   12.4785274820 12.4948123414   2.8963461305 2.1635062943   16.2838369008 15.0762195761   -0.4552827045 0.4059162153   13.6309415210 12.6705183358   11.7593366127 13.7324913044   3.5306616825 3.4912858173   11.7600888594 12.2695931411   9.5715257554 8.4270822297   6.0424780575 5.6429148227   0.3867714200 0.2291293739   13.1549819428 13.0749154210   -1.0147328794 -0.1893987845   14.0503861785 13.0356435235   3.9970419464 2.3628073978   2.5416855951 3.4124497185   14.9510312793 16.7613789715   3.0028689944 1.9675571750   

