2.9269665928 3.4211597842   13.2878253495 13.6697879604   0.2758939850 0.1980690737   2.4197491459 2.1166452398   3.5705848113 3.3935641293   12.4146509426 11.6179903103   11.2421443210 9.3840299371   -0.1953195315 0.3896747548   13.1065117354 12.3488903720   5.8470961070 6.7566018191   10.6923046137 10.8885131826   9.5213902820 11.0523629879   0.3266728714 0.5925880750   9.4038303484 9.2956705783   -0.1823547393 -0.3697447739   11.9183813570 13.3013969496   2.2285595217 1.4335703828   14.5305760702 13.8083642997   13.1760837716 13.6137061669   14.7438540852 16.2043165650   5.6216217170 7.7664135057   3.3854476689 2.9777482148   11.7365312470 10.9703509349   11.1025416436 12.4097738475   4.0737478009 3.8889273044   9.4723016208 10.3846137617   0.3394112850 0.1266400592   12.4719470943 13.2447746280   0.1247937545 0.3158620117   10.8857309062 10.3156964839   1.1383775364 0.8573381488   6.2180035042 5.3178469426   8.5100214508 10.2487541712   12.6741492211 12.4260858314   1.6094913954 3.8844599193   0.1133126074 -0.8624741988   16.6652635788 15.1997766132   3.2068524299 3.3131565449   3.4985010054 3.8982204285   14.1883071939 13.1873650739   3.6752241068 4.4586970698   16.3518142297 16.4699627067   2.4684686394 3.9189619966   8.8325326065 9.8325371051   -0.2311489386 -0.3488733881   12.0703288294 11.7271665099   2.1547145664 2.2788590052   4.0479372801 3.6543777715   -0.3614594607 -1.0199516764   3.1261000022 3.0274598635   13.6952797867 12.9072490893   15.9034449789 16.3995340970   3.2369838301 1.8497478549   2.0349715159 2.7155830880   14.5042845866 15.9154890243   3.4464477937 3.6181536448   12.7162853230 13.6839445868   4.1589371093 2.1896170621   13.4092289168 12.8923460216   2.7351017617 0.4621990312   0.3636795317 -0.9591045789   0.7571723864 0.2901648312   12.7242781437 12.2967391499   -0.4066015355 -0.0941114243   9.0551847330 9.3934562532   5.2804070335 5.7135677500   3.1311358137 3.7112448707   2.8622827543 2.7387145088   9.7956603430 9.7607278182   0.6589495521 0.1669344658   15.0048488513 12.3150849233   13.4466551971 13.8915185115   15.7321547945 15.4557016960   14.5121015341 16.9818405141   -1.0888654885 -1.0060026634   13.3907494288 12.6268669071   0.6241019575 -1.1806383481   0.3344161776 -0.7684269521   6.8322521148 6.3713907260   14.0945560179 12.9323730622   15.7684080930 16.8040999727   -0.1084613075 0.2959759205   13.1004664457 12.8885661232   6.8947360381 8.0681445723   13.5851135552 13.1926876455   6.5854831074 6.0574952155   18.4870432558 16.8219208196   3.1679248536 2.7596924132   2.6355384958 2.9414226624   16.2933704972 16.1072370463   1.5456973523 4.0576939581   15.7867305981 15.0554397741   8.8683193062 9.3470038299   16.3893705878 15.2705359079   16.1557674611 13.9324713458   4.5049222532 3.0736444536   -0.3148227336 0.7392230094   1.3009516364 2.9299695207   3.3531857995 3.9140741114   8.5360258708 9.6007696860   

2.9509183035 3.6083585083   13.0461447223 13.6895936910   3.2675476616 2.6114691519   16.9185590220 16.1506408224   16.6842139760 16.2341589014   15.4443065163 16.0681987964   -0.7922545334 0.2592209526   12.0617984345 14.5490148126   0.1310841332 0.3598449877   2.7066138713 3.9153772311   12.1852961970 14.1731054648   14.7672053788 16.7519929787   -0.2276762157 1.1042922980   12.8521358617 12.0813293629   0.0394992253 0.3028625395   0.7216453260 -1.4267583203   9.6267511051 10.9826742396   0.3716743054 -0.2772686666   2.9890082348 2.4466721583   11.9827520415 13.4495935256   3.6226673630 3.1992681489   12.8962904721 10.9361627847   2.6292624461 2.7263017896   14.9034461172 11.0994706281   14.2674328900 13.8399376066   16.5310821615 18.1667891068   0.9832716447 0.3713310227   3.7710282435 2.4613017261   14.6473003010 16.9218582268   5.6450549545 7.1908851029   12.8487734209 14.1413477688   3.1708423774 3.0439043279   11.3707824882 10.7202493009   11.6565322541 14.0791590867   10.9269692711 10.4001556501   13.3031862230 12.0635604574   13.1547602785 13.3316129290   7.2472495270 6.5912269413   12.6978619367 13.3952264070   9.3822248675 10.6080030507   3.2053096404 3.4589046733   13.8318677567 14.1706012951   12.2538244644 13.2203928698   4.1984769342 3.3684754555   3.9563511565 7.1254902881   -0.2917229032 -0.1077430020   15.9423591538 15.5083170089   14.3058088032 12.3828521984   0.3285015563 -0.5074796718   5.4925000124 5.5871811199   11.2502290920 14.5693266868   6.4388610406 2.9611759851   -0.8264411620 0.1611062694   2.4052132984 3.9530368027   8.6360955220 10.6503759636   3.7774388172 2.0732210970   -0.1158786265 0.3061308447   5.3760384175 5.8089427801   5.4159268893 6.4387060232   13.0704002051 13.0984452907   -1.2562811276 -0.1568539473   9.7890786085 9.6799788580   7.1650202238 5.5754244423   -1.1154567467 0.2088025265   11.6943957849 14.0140265618   2.6466814305 3.7598221262   13.0091481230 14.9258518612   2.3899091028 3.2883336398   0.5554285236 0.4354940904   -0.2068101471 -0.1284445987   2.3254299804 3.4383763112   14.0870938583 12.0231542088   3.7696277431 2.0313985203   9.5769188597 10.8534980411   6.0050283685 4.9882717211   10.9842890518 10.1124880502   2.6389846235 2.1230519852   -0.5331130653 -0.2294716003   13.6706283866 11.7107421820   13.0462339351 11.7982986023   8.1706240148 11.0771190150   15.3159150816 15.3388542477   2.8755715319 4.4960170718   10.0231117964 11.1865666239   15.1014654610 16.3044115432   6.0661367135 5.6828985109   13.1810111213 13.9106921343   12.3373887369 12.5521840877   14.1064039023 13.3176843717   13.1927098061 13.3967751279   6.0091848034 4.4261641331   3.4712313172 0.5203289566   12.6045397061 14.8037104967   1.2151120254 0.0307319740   10.6724756685 11.3618728884   5.2374030773 7.0760194429   0.4692608783 0.2618332337   3.5453455169 3.0159250855   0.8075132342 0.5037063103   15.2578200832 16.6506740077   

2.5195101186 3.3538108865   12.9706665730 12.8005157654   5.0946619280 6.8057496562   12.1709413104 12.5617101301   6.4857248350 5.8928469913   11.3732352058 13.6092757646   0.5944332268 0.3367227666   15.3521506106 14.8913732352   18.9313223997 15.5456958337   12.7701115509 13.4436667377   3.4165328763 3.8448771225   9.9832408813 8.7311296099   9.2672751009 10.3777239628   13.3883575186 13.5545559978   15.7144406879 17.6543152122   4.8738597611 5.9903119838   13.0498793544 12.0400967449   -0.1013871357 -0.2334797701   15.7971573853 15.4352380585   9.9510648013 9.8017679642   2.4573855963 1.8585000129   10.0051487259 10.1657265473   3.1628497216 3.5674762675   -0.3191600652 -0.1818373395   2.5951284968 2.3676228260   13.8711498005 13.1557098135   5.4756347821 5.6290916104   11.3014928385 14.1791038076   10.6683885586 10.4997963975   1.0381068230 -0.4004045022   9.6430818730 9.1113414797   13.4482213534 13.6491049183   2.9306921362 5.5524815374   13.5544817576 11.5323913409   6.3476384905 5.8472916111   12.5593648400 16.1724418537   12.1732801744 11.9307343235   1.8450222474 1.9762262131   11.8336520299 13.5297822156   2.4774545463 1.9309626358   9.7482900287 10.4745340778   7.5402178253 6.8603538956   16.5869819236 15.6284699206   3.1765306069 3.2335270329   12.8346233276 12.7991625671   15.8731291032 13.8115049303   10.4600267694 11.0151005326   10.6225558360 11.4023706048   1.3088600991 3.1933618067   2.7947166640 1.9816375468   0.4466555498 -0.0106539236   0.3957941227 1.4088384459   1.6909909385 1.9807713043   3.4446746070 2.2115198821   10.1991913491 10.6409677071   10.0304275520 11.4315376516   2.7057507008 3.2268337933   2.4121626626 4.0068158432   13.3028952239 12.6150600962   1.9233906022 3.1269608286   1.9105582003 3.2483861318   1.7969343155 2.9579139111   10.0755408618 10.2499197327   3.5070730328 2.8055869917   2.6015644205 3.0385710136   15.0551474595 17.1269122752   10.0062765688 9.4227359050   3.2749515349 2.5587997278   11.6679614371 14.6870524487   17.5686544199 15.3066500255   5.2597937983 5.6139595432   9.1803715818 10.0064217391   2.2016490613 2.1923121688   15.4724874521 14.1113823991   2.1573422256 2.7703395260   4.7157932180 2.5243749130   12.7159198811 13.2463005545   4.2733732999 2.2469714066   5.7522577880 6.4764249795   5.9686740425 5.5835688515   2.4862375484 1.7957053406   13.5390738202 12.7761810493   9.3711472333 10.4372309370   0.8405616476 0.8380622641   6.0202782215 5.0652378544   2.9499651442 2.7557527763   12.0005164586 13.3247600534   4.8889811444 3.6995901215   0.2306001882 -0.0512146060   12.7965619995 13.3881734348   -0.4402372965 -0.7436523725   10.5808699936 8.9554355664   12.3448001091 11.8905440447   10.9576325850 9.3690377215   8.6763460572 10.7691061446   15.6769799082 16.3696892568   2.3749803773 2.5846289079   5.9642825874 5.3300166186   11.3708624624 11.9611653345   2.9084123957 3.5685923683   

2.8899211694 4.0489610607   10.0456057680 10.8259504871   -1.0610150062 -0.4977998493   15.3943846898 13.6512092939   3.6809854559 2.3088306990   2.0452988782 2.6181798926   12.5948434038 13.0465499679   11.5414367378 12.4424005930   13.4297323303 15.3316007761   2.3137470099 2.4205855481   10.8090404227 9.9519458851   13.7811100370 13.6901897152   9.7713560347 8.3620901577   0.6061648936 0.4440309684   2.7708361427 1.7183145543   0.8012332997 -0.4082501707   3.9294496922 2.6664537548   10.8292256727 9.5333932957   -0.9656132549 -0.3072172874   16.9267186822 14.4141434421   0.0577119626 0.3664632432   13.7538777991 15.9089093924   3.3859357866 3.3669472705   10.3592273954 10.3916137102   9.4380011976 11.2216489497   -0.2186715213 -0.4583584666   14.2657383506 12.7760826697   2.5130977383 3.6955099964   4.0241137288 3.8769109345   3.4431387514 1.4285028644   15.0554926254 16.3855889792   9.4189988880 9.1390126107   12.0437197239 12.3604120864   12.6130316289 12.5538979451   16.2399001965 16.7377374345   -0.1820593556 -0.7160441379   13.0538516770 12.6999698365   3.8572208736 1.8506411704   6.5010755508 6.0671016304   3.6197646753 3.4401302593   12.6545379641 12.6379480417   15.0564245253 15.6244259958   2.0251365929 3.1205194123   2.8353977484 3.8565211200   2.5835610771 3.1147298199   10.0518346668 9.3892127503   2.7698349158 2.6940740503   3.5463670287 4.5214821924   0.0483941896 0.8450587432   4.1929509150 3.4327232547   11.9632442393 13.2999301583   1.7299440954 3.0014244874   13.5552668336 11.1106045423   -1.2476697927 0.4244613205   15.8272312699 16.3721661044   3.2160999221 4.1096649239   12.4117277520 13.6474965580   13.6308763938 14.5522443705   3.7208016535 3.4198423166   -0.5964822509 0.3238672188   2.4769487833 3.4976880197   6.8131373451 5.9078481555   2.5803298198 1.8765296989   11.0935138787 10.2368914168   14.0043751986 14.4742945009   15.4520963760 14.2292530967   2.3694464458 1.9193579158   0.9819569281 -0.7329364703   7.4007204609 7.3984722941   1.4455629642 3.2728150958   12.4523977114 13.1597123868   3.2136166267 3.1676371096   9.2711712866 11.3458751235   8.9483192924 9.6803572736   19.4870086235 15.5050544410   12.6268586243 12.9483396262   5.4283514252 4.8841447136   2.4993177122 3.8487745664   10.4989059646 11.5901203216   0.2271606305 0.2686354355   9.8179413943 9.9490478997   12.9759718936 11.7487965019   2.0868146586 3.2678795360   15.3820089931 15.8432540237   5.9780118094 7.5036651295   13.0829523146 12.8086376295   -0.2575550335 0.3053964375   13.4228335884 13.4412786637   15.6326450607 17.7248328979   2.5981802957 2.6821942973   7.6060242463 5.2783578256   11.6425251633 11.8906252583   1.3958697337 2.8584453007   1.8904660399 3.9543899018   2.9524805209 2.9468383168   5.3242643487 6.4518377382   6.5396904074 7.0092492078   3.5145806040 4.0377787198   12.4992959667 13.4875310686   3.0397336882 2.7663086807   

3.0955941677 2.2226082860   3.1544988373 2.2400355675   16.9418438109 16.4501791600   3.1600609900 2.5550457053   15.8245271035 15.9916184035   3.0934901552 4.0406114090   11.8671876098 14.6945465560   3.0943265166 2.6876558317   1.7381495154 3.8677027488   4.5966883124 4.7304123174   14.5001623210 14.6455120272   7.0591751555 5.8115552945   3.0381498217 2.3247616425   2.8944881742 2.3171294412   5.8508427754 5.5047934180   0.1500041847 -0.7974517067   16.3649114726 15.6629375214   10.7915492783 12.7660024506   3.3824364485 4.2964291481   3.8076763691 2.2059728895   0.9690270646 2.6424034654   15.4617189955 16.3393223256   -0.0169104418 1.2446101696   13.2934919948 13.2277514122   -0.7417517182 0.7831702794   16.6290709163 16.8446769376   12.9887654621 12.4159651451   9.7032226730 9.5501366717   3.3397093376 2.7412394253   12.1015070805 12.9970042836   15.5467280649 15.7007029187   14.5187959965 11.9581885261   16.1162754326 15.5577145004   13.5647675020 13.3000678903   -0.3539893645 -0.1151825047   13.5388766793 12.9724457482   2.8840858228 2.5449016277   12.1045972428 12.6837527514   2.1205630093 2.8873811316   5.0277193933 7.1233970288   12.5003364597 12.7866925962   3.9320680749 2.4410404452   -0.4460983014 0.9048712973   2.6216663682 2.9989873618   12.8237791454 12.5912565248   2.4382589647 2.4995756184   4.0586438257 3.9787023924   13.5618416886 13.0059696597   3.5307372206 3.2946083133   9.2103387971 9.1908016200   11.8493954414 12.3454099362   14.3731405686 12.4032051661   0.2256345452 0.2022560309   13.1920397896 13.0225841372   0.6227611475 -0.0717998080   3.7833483762 3.6987825689   10.0606475671 12.9792863613   2.4367725889 3.9928279330   15.9449933773 16.0211339460   1.2331564843 4.2684565504   3.3374467218 2.2386971322   16.9576699551 14.5652195192   5.5359348583 1.6374331388   -0.5702695804 0.1490921543   3.3972178941 3.4516674886   9.1528255725 9.8328335204   5.9853382696 5.8752948295   14.5603787815 16.3603429426   6.5720237885 4.1532619514   10.4116073309 10.8688805262   17.5611234866 15.8636195888   9.0499670383 10.6862867087   1.9955228033 2.8290949708   9.6181732407 9.7159414479   3.1321730303 2.4495073108   2.3238033164 3.0834299356   16.6951606193 16.5868899566   12.0988667022 13.8316671414   2.9148560657 4.3146437319   4.1109251431 4.7227845525   6.1785162749 5.8752558664   -0.8295957748 0.9151901584   12.6539983158 13.1596795109   17.5782046568 14.4699992370   4.3498627403 2.0405952022   0.1434118400 -0.3319392923   4.1947246893 3.6352975951   15.8998444165 16.7008091824   14.2849273571 13.6422411431   3.3968194675 3.7067610722   3.8707758405 3.7428873502   14.9580554102 15.4828940789   13.2391035142 13.2480565546   1.4041322421 3.0101267841   10.1232205162 10.9967843735   6.3429728791 4.5996932459   4.0669361733 2.9514702633   9.0743580462 8.1769077847   17.0317956216 15.2004327567   13.4155525890 13.2445842142   

3.6940957586 4.0959504655   2.2090977457 2.3687977745   3.3663274560 2.8229084541   12.9951524663 13.4127388148   17.0915323326 15.6557576537   0.8420441446 -0.2163649715   12.1834226109 13.1058313443   10.9194713379 10.1481120949   8.7842971723 10.1489899044   13.6363878062 13.1023496763   13.9614461298 12.9315865556   0.1354255070 1.3635936413   12.4233878332 12.9274355367   3.5770110445 3.5478926579   10.4572258361 8.3308616820   2.8384608972 2.2986999148   12.6891557706 12.5140657677   5.8513742159 6.7483670306   12.2547874992 11.7960376153   8.0881739849 10.0833738388   -0.3294011229 -0.1377298916   -0.3378308308 0.2617825677   3.1074829493 2.7676317774   2.0629341045 3.6098528056   -0.0389142325 -1.0729669076   17.7888010685 17.0846383051   3.5304921986 3.3747317698   9.1684196335 10.0694529620   10.6339925106 11.1628077260   3.3996284179 3.0251273480   13.2419534396 12.6283973758   12.3861227893 12.5540986650   3.1896437186 4.1598471946   11.1882698988 9.0965253092   13.3535002622 11.4318001373   -0.4207683385 -0.8427438306   7.5430955340 5.9883912063   2.2465714599 3.1347175716   13.4764083587 15.1599754562   9.8564183702 10.6982300629   2.2650374743 3.2997127857   10.4424943559 9.6994236650   12.4243787504 12.7374392124   3.1517922401 2.9757754588   3.5868226758 2.9188430453   12.4608099391 11.8411088085   4.2422957922 3.9122714655   8.1957063510 10.6265311281   10.9610086398 9.0714554087   2.3174907254 2.7906182694   2.0544300088 4.3904733776   6.9213889255 4.3062644542   12.9749243697 12.8420634327   12.5420705390 12.7334087805   12.5155222491 12.9212398016   0.5534878617 0.0269411888   6.9719639891 4.1678072931   0.8058454378 -0.4631239005   12.8497035686 14.0023670097   14.1102079860 13.3943521554   1.0961552271 0.4317317415   2.8912604884 1.8598417006   11.4943114865 12.7301497251   10.1761312668 10.0240153800   15.4386673794 16.1280120726   14.0995052345 13.1258758412   -0.0138071799 0.6318430567   12.7697781188 12.6478049361   1.7630920923 3.1813126470   11.5579125914 9.5149940787   5.9087762660 6.6783297329   3.0740629118 1.8283776205   0.5669428961 -0.4939035931   0.4436389282 0.2012147098   13.3483309260 11.5016470064   2.8473061520 3.2316013328   5.0039941274 5.2049541869   -0.7264151915 0.6020517599   3.4000304804 2.1815380536   10.8495820945 9.9638029736   3.1294262923 3.7624589374   -0.0416347104 -0.3985129983   1.4276305194 1.7442462895   10.2065128908 9.6816491439   12.2593881426 13.4271623665   3.1036540649 2.2611199189   1.7251445855 3.6819930750   9.4625184243 10.6647870619   13.4413281228 12.0973582411   6.0687742663 8.1521919784   -0.5640835830 -0.7563998979   14.7073850609 12.9459645237   10.0551512965 9.5583603139   0.0359773212 0.1855004245   2.7212308177 3.5087363040   6.8262090692 6.6878901759   16.2007871940 14.1919761480   5.2572825904 6.7576785203   3.4474435212 2.3240456532   9.3084205929 10.5891390797   

2.8342368722 1.9686133521   13.5752704475 12.8610381110   12.5858683892 13.2221652746   3.3968178561 3.2165758547   3.2908947463 2.2350212329   2.3247006175 3.7251467798   2.5216806627 2.7891970009   14.1991647676 12.9254990540   9.4342263771 10.2609855893   9.1230637039 11.0894906721   14.0638295140 12.4448086866   13.8984940418 14.0793768990   13.9912311665 12.4027394347   -0.2803912204 -0.7791356456   13.0289368466 14.2545963955   2.8539199095 3.8421402067   12.4472663902 12.5573118385   6.1966297116 5.9240232885   4.5526246302 6.6456126217   10.5894862124 9.6238263730   12.5011001314 12.4053988311   2.0477212632 2.6371383742   8.9000276575 10.2695779999   16.0840263384 16.1319295904   12.9392855972 14.2928012690   -0.0976275054 -0.6887727799   6.9909951874 5.1503385328   16.1791804527 16.3359772858   2.6207553280 2.5518702378   2.7138157738 1.1619211260   12.4619695201 12.7492873956   0.6536391073 -0.1831607631   12.4514978746 12.2318489525   1.4961923841 -0.2637124969   12.7552140598 13.9416307049   -0.4566081792 0.6128048910   3.9525878399 4.0809237499   17.1810436389 15.8936384204   13.4343066047 11.4572434238   3.7215601851 3.7162333463   6.4893546328 6.0176769104   13.8880712929 12.9708051518   10.1786765950 9.0750452528   12.5576526393 13.8919206733   2.7981952851 2.1219338967   1.7381763907 2.1243035198   12.8385873200 11.6169511193   13.3684437461 10.7046132843   1.6245604425 3.2110297662   2.0888876004 2.7410373493   5.4488049390 5.7350959701   2.8991969905 1.5152833624   16.3961315632 16.4553794760   2.3752198087 3.9076349151   16.1620615165 15.1772568370   14.2613889556 12.7678769517   12.1156001280 12.7848540148   13.6248933549 13.1467604592   1.5136910863 -0.0981257284   6.5332013216 5.7765955804   5.0226792111 6.1651631811   1.3289114793 4.0272057393   10.2395330221 9.9965097955   -0.2029974157 -0.2373238277   15.8260769233 14.8727386903   16.5643186013 18.2313912548   0.6835257342 0.4958318202   12.9792193078 14.5575508131   0.4950414421 -0.3578782619   2.7397826851 3.1813160813   0.4029887871 0.9840013142   11.3456651029 12.6496821107   12.8895320506 13.0510519868   -0.2229588902 0.1848775371   13.3027187773 13.1799101882   2.4156241661 3.2035215492   15.8319755840 16.5412870282   12.5273332011 13.3290408438   12.9746665009 12.3491086354   1.7705043222 -0.5826356910   3.8344354691 3.4501792120   15.8562923821 16.2148179436   2.4211069649 1.3567892938   11.7913473046 13.5010338527   -0.5711492734 -1.0337602151   16.9298383699 16.6756099468   9.2512705386 9.8554278063   -0.2536032711 0.0126588909   14.1898240748 12.9112106111   12.7060596960 12.4684560141   1.6567801656 2.1008816402   17.2494135686 16.1834890973   12.8021523631 12.5476735141   17.8171031742 16.7492018227   3.0064803316 3.4898835961   5.1166831987 5.7310867223   13.0634312889 12.6187200274   3.0927760006 2.2813733411   16.0143541253 15.9726207469   4.4556199474 3.5304465381   

0.6649797474 -0.2532032503   0.7478990924 -0.3004015959   9.5773368839 9.0592567521   13.3276693036 11.0716500414   16.1107581177 14.6649556632   15.4315798153 14.7165400373   10.3310677627 9.9561371653   16.9288159941 16.1071169467   3.4144762374 2.5070287867   12.8786355904 14.4120076385   3.6743725577 2.2741215656   0.4352203757 -0.5622014633   1.3107583963 0.2428331078   10.2912952658 9.8035817840   2.7460909873 2.7849943233   17.6849726453 14.8602049834   12.9053053600 12.8856679380   3.0985819086 2.8856197368   17.2462518894 15.0587240974   3.7039023407 1.8097208983   15.7301826275 14.6704227129   3.0823942242 2.0730800052   15.2933688492 13.7762224689   2.0608616314 4.0307306901   9.0376106460 10.0371646776   -0.2179427778 -0.8755046758   13.4598979310 14.7899189480   5.3771384415 6.6524232070   3.2081250510 3.8622725927   1.6991413796 3.3962328359   3.7527027072 4.0305177609   12.3042806312 13.5573572567   0.7070878651 -0.5944868969   10.4924894108 10.3396824480   13.1796624954 11.7354386900   13.5983822050 13.9893483184   2.1915303405 2.9955274639   13.7599430233 15.0492789922   -0.1837554361 -0.0534841163   15.5391308879 15.0885003773   9.3372959274 10.3725917603   0.2246825962 0.1471952693   12.3518575768 12.3655997114   -1.2136344171 0.5753986672   12.0186282990 12.5296325320   4.4647050932 7.0345909894   11.1967924067 13.2900301089   -0.1531779138 -0.0030178342   0.0986410668 0.0413306572   2.8888319509 3.5746660544   13.3305409537 14.7004051635   2.8769282389 2.2933928598   2.4882509646 2.9147209950   -0.6243480823 0.2477677619   -0.2234195123 -0.0944981854   -0.7581489895 0.5754301435   10.5875133838 10.0997526104   12.5987886450 13.7724914776   13.6032266143 10.7646286932   2.9056301607 2.9222115019   13.5323627527 13.5944237985   2.9615228833 1.8424211258   12.6394369872 12.6618036603   13.8623747504 13.4731440210   2.4123258163 1.7100222200   3.1582326777 4.7273234338   8.6480556792 10.4005568451   14.0625767127 13.3828633051   5.2702371102 5.9589249618   13.3408855890 13.3219722144   16.3872815972 16.2439983569   8.6266425055 9.6886106502   13.8365583519 13.2360033148   9.6055885999 10.2553525511   15.8639214933 14.0382757182   -1.0771604821 -0.1088366783   15.3142730249 15.9713501907   13.2167582513 11.6327498708   0.4236181437 0.9583727591   11.9387949449 12.2990906088   15.9974237371 16.9686578293   12.3941983532 13.9037507132   6.7913412436 4.5727617558   9.5833237533 10.6289546240   12.1304529419 12.8878326980   12.4962194236 12.4325131216   3.0428731212 3.4793847058   13.3544884868 12.5811573531   -0.1912027451 -0.5363540617   14.4780299827 12.2235854413   10.3699614184 8.9750236890   12.6539347079 9.4534078161   2.5926547253 2.9290935422   0.1094971362 -0.1442221743   2.9791461309 3.7070068591   0.7907029319 -0.4577992373   1.1621405737 -0.4555515311   3.5777945615 3.7610869066   13.0241992941 13.0897461625   3.6207244893 6.1701628542   

3.7151484253 3.0408148093   15.7930580798 15.3101742506   12.2521832587 14.0750672675   0.2945449886 -0.2121931416   16.5046815134 14.9096363972   9.3076956262 10.1200381787   0.8438376347 -0.3097177869   9.6738816204 9.4195163493   0.7156728690 -0.6516267489   1.9517950634 2.9527547751   13.0719546253 12.9262755128   17.5398701874 16.9451013383   13.8797718290 12.4955919371   3.8719843558 1.1499288219   6.2177414364 6.5704949113   3.2199443765 2.4874737996   6.8761109341 3.7190460373   12.4619780426 12.8273879452   -0.0050570462 0.2586159096   6.6936963812 5.3179609638   15.2867162145 15.9940011713   -1.2239933926 -0.4778508523   12.0697774908 13.8201517361   12.6340572947 11.2748328621   3.1213686933 3.3967521091   9.9680797976 8.4070572184   12.3905737395 13.4586475978   4.4858722388 3.4749708592   2.2221444954 3.7881150264   9.8104757816 9.5285892491   -0.3391594715 -0.2727880746   11.1506293008 11.7388363931   12.5334396358 11.6670332336   12.0506634967 12.7976679322   6.8570872763 5.2767657775   12.3210196692 12.7940561804   4.6737059900 5.8181489635   9.8344088936 10.7811410864   -0.7790348257 -0.8140001359   13.7802101321 11.5509398741   2.5343539250 4.4002841844   -0.6831173763 -1.2457772021   11.3954613217 13.7202887131   -0.3668677798 -0.8921094866   12.3367454624 13.6747729838   1.3032599687 3.0423248613   10.5430518234 8.7472322273   10.3366881597 9.4303896649   3.7330978174 3.7428903728   1.8030950268 2.5718474524   13.8695633032 12.9510889351   13.5295050032 12.6027295275   0.2926038183 1.1947713599   2.5098585677 3.7526702520   -0.1668381701 0.0906303540   12.6544086251 11.7806494033   -0.1147427272 0.0201736321   14.1775234109 12.3566630735   12.5848823406 12.7414297364   6.5711757634 5.8512062532   -0.4096920146 0.2167749547   0.5997624122 0.2262945487   10.3784347789 9.1791647576   12.3638774378 13.5619823438   0.8022449775 3.3902109556   5.8098360959 7.8662600247   0.4220312931 -0.4010090495   12.9788172071 12.6916787821   9.7551987298 10.8301860046   3.0301323632 2.0652784717   -0.2466986664 -0.7129152215   12.5682729975 13.1087571122   3.8404100839 3.2212986384   5.1063707863 6.4846493315   12.4343812558 12.4678792663   3.5561237773 2.3017173222   9.6340585750 10.1862822849   15.9252023323 14.7559773041   3.8598924308 3.0685721730   3.4758970669 6.6124248623   -0.6322011684 -0.3725736595   13.1179378724 12.6684731168   15.5821995286 16.1055827868   0.5176431355 0.5730852456   12.4588078803 13.2855380531   2.9626786045 3.2943874859   8.7710070622 10.4257247525   2.4023400980 3.6302230645   2.5834650181 3.3325721984   12.7291906055 12.8321399338   14.5486173565 12.4623211124   13.7500705850 13.6531872964   16.0212334143 17.2713939475   0.7342476170 -0.1024567145   13.5291013734 13.2765489461   4.1853617881 2.5422416024   5.8388555592 7.8167532986   9.7118170921 10.2449910115   12.1396403374 12.2705884499   10.1087546120 9.8457546565   

